Chapter,Type,Stage,Sequence,Text,Delay
1,Main,1,1,바다로 떠난 부모님의 배가 수평선 너머로 몸을 감출 때까지 등대지기는 그 자리에 서서 바라보았습니다.,5
1,Main,1,2,"두 개의 바늘이 수십 번 엇갈렸고, 둥근 창 너머로 달이 가장 높은 곳에 떠올랐습니다.",4
1,Main,1,3,"이내 태엽소리만이 방 안에서 맴도는 순간, 등대지기는 비로소 시간의 의미를 깨달았습니다.",0
1,Sub,1,1,요정의 도움으로 아름답게 변신한 신데렐라는 꿈에 그리던 무도회장에 도착해 왕자님과 마법 같은 첫 만남을 가졌습니다.,6
1,Sub,1,2,"눈부신 조명과 화려한 장식, 향긋한 음식들이 가득한 그날 밤, 푸른 드레스의 신데렐라와 왕자가 달콤한 춤을 이어갔습니다.",6
1,Sub,1,3," 하지만 밤하늘이 노란 빛이 차오르기 시작하면, 영원할 것 같던 이 시간도 결국 약속된 순간을 맞이해야 했습니다.",5
1,Sub,2,1,요정의 마법이 끝나갈 시간이 다가오자 신데렐라는 서둘러 무도회장을 빠져나왔습니다.,4.5
1,Sub,2,2,성 앞에는 그녀를 데려왔던 호박 마차가 기다리고 있었습니다.,3
1,Sub,3,1,"호박 마차는 빠르게 성을 떠났고, 뒤늦게 성문을 열고 나온 왕자는 멀어져 가는 모습만 바라보았습니다.",4.5
1,Sub,3,2,그는 바닥에 떨어진 신데렐라의 유리구두만을 집어 들 수 있었습니다.,3.5
1,Sub,3,3,"고요한 밤, 괘종시계의 두 바늘이 만나는 순간을 알리는 종소리만이 울려 퍼졌습니다.",3.8
